subject,prompt
Keep,"a young,, elegant fashion model emerging from the sea,, adorned in a radiant and shimmering silver metal attire., The environment and the attire should blend seamlessly,, radiating a sense of mystique and otherworldly beauty., Keep the focus on the interplay of light and the metallic gleam,, highlighting the ethereal glow amidst the natural backdrop of the sea., --ar 4:5 --s 1000 --c 100 --w 1000 --v 5., 2 --style raw"
receptionist airport carpark,welcoming female receptionist airport carpark uk high viz yellow waistcoat very friendly
spaceship::use,"illustrate a technological scene,, such as a futuristic city or a spaceship::use clean lines,, simple shapes,, and a limited color palette to create a sleek and modern feel,, SAI 16 bit pixel art"
dashboard,"a dashboard showing stats ,, simple colour ,, white background ,, natural"
Pixar,"cartoon 3D sunny bright Pixar-style image : dragon : cinematic --ar 68:128 --stylize 750 --v 5., 2"
Jayne Mansfield,"black and white photo of Jayne Mansfield kneel down in front of Baphomet during a satanic ritual,, occult symbols,, 1950s style Hollywood gothic,, old photo,, shot on film camera,, lots of film grain,, scratches on the surface,, rule of thirds,, nightmare mood,, depressed atmosphere --style raw --v 5., 1 --s 300"
woman,"Painting a beautiful woman,, K-POP idols style,, colors and abstract shapes,, expression of feelings,, imaginative,, highly detailed,, stunningly beautiful,, realistic face,, smile,, depth of field --ar 9:11 --v 5., 2"
HDR,"Create a conceptual Christmas poster,, HDR,, hyper realistic,, photorealistic,, 32k UHD resolution,, white balance,, light volume., ,, ultra hd,, realistic,, vivid colors,, highly detailed,, UHD drawing,, pen and ink,, perfect composition,, beautiful detailed intricate insanely detailed octane render trending on artstation,, 8k artistic photography,, photorealistic concept art,, soft natural volumetric cinematic perfect light --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy"
jay bennett tv,"jay bennett tv program 'loudonian',, 1987,, acrylic on canvas,, 45 x 36 in,, in the style of graffiti-inspired animals,, dynamic and exaggerated facial expressions,, stephen hillenburg,, intense emotional expression,, black paintings,, arturo souto,, mcdonaldpunk --ar 2:3 --stylize 750 --v 5., 2"
Kanō Naizen,"a close up of a person with a camera,, a photorealistic painting by Kanō Naizen,, cgsociety,, computer art,, ilya kuvshinov,, anime aesthetic,, artstation hd"
kitchen,"modern kitchen with white and black color of interior,, 8k,, photo realism"
Rough charcoal sketch,"Rough charcoal sketch on old paper,, beautiful female figure,, seductive pose,, clean line art --ar 1:1 --stylize 750 --v 5., 2"
closeup shot,"An extreme closeup shot of an old coal miner,, with his eyes unfocused,, and face illuminated in the golden hour --v 6., 0"
john watkiss,"a poster with two egyptian women,, in the style of technological art,, futuristic urbanity,, john watkiss,, circuitry,, dark azure and orange,, wealthy portraiture,, architectonic motifs --ar 1:2 --stylize 750 --v 6"
closeup shot,"An extreme closeup shot of an old coal miner,, with his eyes unfocused,, and face illuminated in the golden hour --v 6., 0"
Strong,"A woman who has just escape a life as a slave., She has raven black hair,, green eyes and wears rags., She is covered in dirt and grim,, she is tall,, strong and brawny and has a look of rejection on her face., Strong,, muscle,, starving,, dirty,, sword and shield., She is mysterious and plain,, ultra realism., Style of Lord of the Rings,, Tolkien"
edward scissorhands,"edward scissorhands in el faraday's 'horsewoman',, by jared leff and,, in the style of petra cortright,, claude cahun,, close-up intensity,, iris van herpen,, photo taken with provia,, retro-futuristic cyberpunk,, white and crimson --s 750 --style raw --ar 125:166"
Keep,"a young,, elegant fashion model emerging from the sea,, adorned in a radiant and shimmering silver metal attire., The environment and the attire should blend seamlessly,, radiating a sense of mystique and otherworldly beauty., Keep the focus on the interplay of light and the metallic gleam,, highlighting the ethereal glow amidst the natural backdrop of the sea., --s 1000 --c 100 --w 2000 --v 5., 2 --style raw --ar 4:5"
Shawn Heinrichs,"Tadao Ando,, residence with traditional design and wooden interiors,, warm and inviting,, photographed by Shawn Heinrichs., Brown,, beige,, and cream,, intricate,, ornate --ar 16:9 --c 2 --s 90"
tattoo design,"surrealistic tattoo design,, super simple,, abstract,, smooth flowing water,, --ar 1:2 --stylize 750 --v 6"
william mcintosh,"artist william mcintosh painted a pretty face for a lady to look at,, in the style of graphic design poster art,, hyper-detailed,, light amber and green,, shepard fairey,, close-up,, shiny/glossy,, zaha hadid --ar 1:2 --stylize 750 --v 5., 2"
making refference,An adicted making refference in digital marketing in full color paint.
No Subject,1984
Macro,"A photograph of a couple dancing under a romantic moon,, during dusk with warm lighting and shot with Macro lens,, shot by Mario Testino --ar 2:3 --v 5., 2 --style raw"
person,"a close up of a person with a weird face,, a detailed matte painting by senior character artist,, featured on cgsociety,, fantasy art,, #vfxfriday,, reimagined by industrial light and magic,, behance hd"
Fibonacci,"Fibonacci sequence and beauty,, feminine curves,, beautiful Asian model portrait,, fine-lined curves and details,, in the style of high fashion,, long brown hair,, striking eyes,, slight smile,, dynamic composition,, highly textured --chaos 12 --ar 68:128 --style 2EX4xsZkKozAxjh0ObRFrSE3D-7Lva4CUz6Tepj6SaF2kbCXtwoHrpaMa8Dfh0Z --stylize 870 --v 5., 2"
background,me in a black and green background
collection,"a collection of candles and pine cones on top of christmas tree,, in the style of tabletop photography,, dazzling chiaroscuro,, ethereal ambiance,, intricate woodwork,, nature-inspired,, high quality photo,, happenings --v 6., 0"
c.,"christmas pattern,, in the style of charley harper,, color-blocked shapes,, dark green and pink,, christian wilhelm allers,, m., c., escher,, digitally enhanced --tile --ar 6:4 --style raw --s 50"
Immerse,"Create a stunning and captivating digital portrait of a distinguished Indian brown gentleman 23 years old sporting a sophisticated style,, large eyes,, Position the Immerse against a vibrant studio backdrop that radiates warmth and energy., Enhance the portrait with subtle highlights and shadows,, meticulously crafted to accentuate the Immerse's captivating features., Immerse the gentleman in a world of refined elegance,, adorned in a timeless white printed shirt complements his sophisticated demeanor., Captivate the viewer with the Immerse's piercing gaze,, framed by a pair of impeccably polished eyeglasses that exude intellectual prowess., Incorporate a series of subtly textured text overlays that dance across the portrait,, adding a touch of intrigue and mystery without detracting from the Immerse's captivating presence., Ensure the portrait exudes a sense of timeless elegance,, reminiscent of the golden age of cinema and the allure of Hollywood legends., Craft an image that is both visually stunning and intellectually stimulating,, capturing the essence of a man who exudes sophistication and charisma., The text overlays should be carefully designed to complement the overall aesthetic of the portrait,, using a font style and color palette that harmonize with the Immerse's attire and the vibrant yellow background., The text should not be overly intrusive or distracting,, but rather serve as a subtle enhancement that adds depth and intrigue to the image., --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, extra fingers,, long neck,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
Final Fantasy,"High spec beautiful girl,, light pink hair color,, short hair,, female emperor,, pink eyes,, Final Fantasy style,, full body,, high pixel count,, high image processing,, high image quality,, high resolution"
casa,"Flores em uma casa na montanha com um visão linda das montanhas no horizonte,, waltercolor,, altamente detalhado,, ultra definição,, UHD"
details,"8K,, very details,, hyperrealism,, in the hair salon – flat view of the hair salon through the window blinds,, cream tone,, open ceiling + rail spot light ,, a circular pendant light with a modern design,, in the style of high contrast compositions,, subtle details,, authentic details,, earthy tones,, voigtlander nokton 40mm f/1., 2 aspherical,, minimalistic interiors,, hyper-realistic details --stylize 250 --ar 9:16 --v 5., 2"
Miroslav Tichy,"A photograph of a couple dancing gracefully with vibrant colors and an epic sunset,, shot by Miroslav Tichy,, Satellite imagery,, edison bulb,, full body --ar 2:3 --v 5., 2 --style raw --q 2"
scene,"a rural scene and some trees,, in the style of mist,, wimmelbilder,, red and amber,, rollei prego 90,, photorealist painter,, SAI Pixel Art"
Max Fleischer,"A playful young girl with curly red hair and sparkling green eyes,, wearing a fluffy pink tutu,, is dancing on a grassy field,, face drawn by the skilled artist Max Fleischer,, detailed,, against a vibrant sunset background::4 --ar 2:3 --niji 5 --style cute --q 2"
Sparkle Studios,"Soft fluffy light pink bunny playing a harp,, with tiny sparkling wings and floppy ears,, by Sparkle Studios,, whimsical illustration,, clean and shimmering buff color background::2 --ar 2:3 --q 2 --niji 5"
steve henderson,"portrait of a woman,, hand drawings ink and ink on paper,, white paper,, in the style of animated gifs,, steve henderson,, captures the essence of nature,, light brown and light black,, double lines,, loose figuration,, dusan djukaric --ar 73:58 --stylize 750 --v 6"
can;t,"a black and white photo of a beautiful woman in a kitchen,, back angle,, lingerie,, in the style of retro photographs,, i can;t believe how beautiful this is --ar 87:128 --stylize 750 --v 5., 2"
james jean,"a portrait of a metal creature with horns,, in the style of james jean,, retro-futuristic cyberpunk,, beige and aquamarine,, intricate patterns and details,, marc brunet,, dark white and orange,, symmetrical balance --ar 68:128 --stylize 750 --v 5., 2"
Young model,"Young model emerges from sea,, wearing a unique,, ripped sundress crafted from shimmering silver metal foil,, her silhouette radiant against the ocean backdrop., --ar 4:5 --s 1000 --c 100 --w 1000 --v 5., 2 --style raw"
girl,"girl in the ocean on sunset,, in the style of hyper-realistic portraits,, gongbi,, crimson and amber,, blink-and-you-miss-it detail,, the snapshot aesthetic,, glowwave,, poolcore --ar 35:64 --stylize 750 --v 6"
man,"A man,, bent in twisted unrealistic ways,, his face is in shock,, unsettling scene,, bent and twisted around,, unrealistic setting"
girl,"a girl is sitting on a stool and posing in front of a row of mannequins,, in the style of pastel gothic,, yellow and beige,, onii kei,, old memecore,, oshare kei,, slender,, gender bending --ar 93:116 --s 750 --v 5., 2 --style raw"
Andre-Charles Boulle,"Vintage,, romantic,, and delicate designer lace wedding gowns with intricate embroidery and pearl accents,, designed by Andre-Charles Boulle,, on an ivory silk background::2 --q 2 --ar 2:3"
Cristobal Balenciaga,"Front view of a dress design,, featuring a flowy skirt and ruffle sleeves at the waist,, shot from the side,, designed by Cristobal Balenciaga,, vibrant color scheme,, Crepuscular rays,, clean and pink background::2,, Octane render,, V-ray --ar 2:3 --v 5., 1 --q 2 --no mannequin"
Shaman,"Shaman warrior,, wearing animal skull and horns,, Paganism,, ritual., heroic,, hyper realistic ultra detailed,, 8k dark night fire forest bacground"
street,"a street lined with christmas trees along with snow,, in the style of old-world charm,, dreamy and romantic --ar 16:9"
Ross Tran,"a woman with blonde hair wearing a black outfit,, cyberpunk art by Ross Tran,, featured on cgsociety,, fantasy art,, ilya kuvshinov,, artstation hd,, anime aesthetic"
dragon ball，22101,dragon ball，22101
Ninja Turtles,"Teenage Mutant Ninja Turtles,, professional portrait,, hyper realistic,, ultra detailed photograph,, captured with a 85mm lens,, f4., 6,, bokeh,, ultra detailed,, ultra accurate detailed,, bokeh lighting,, surrealism,, urban settin,, ultra unreal engine,, intricate,, kitsch,, -- ar 51:81"
Robert Delaunay,"An elegant blue colored cat,, Candid Shot,, impressionist art,, Robert Delaunay,, solitude,, award,, a beautifully serene interpretation,, autumn,, ultraviolet --v 5., 2 --style raw --s 750 --ar 9:16 --q 2"
Pixar,"A futuristic head of an owl with one wing partially covering its face., The owl should be like a high quality Pixar character., 5k concept art"
joker,"joker,, in a purple suit,, psycho --s 750 --v 6., 0 --style raw"
Autumn,Autumn forest path in the style of Ansel Adam
Hollywood,"1950's Hollywood glamour photo,, medium shot,, 35mm --ar 1:2 --stylize 750 --v 6"
Ann Demeulemeester,"Front view of a skirt,, edgy design,, featuring asymmetric ruffles and leather details,, shot from a high angle,, designed by Ann Demeulemeester,, black and white color scheme,, direct sunlight,, clean and minimalistic background::2,, V-ray,, 3ds max --ar 2:3 --v 5., 1 --q 2 --no mannequin"
Mikasa Ackerman,"Mikasa Ackerman in the style of Vincent Van Gogh,, extreme detail"
macro shot,"macro shot,, cinematic photo of parrot,, colorful,, dark shot,, film grain,, (((facing viewer))),, 64 bits Pixel Art"
burgundy + emerald + navy,"most luxurious velvet women's handbag made with velvet and gold trim,, burgundy + emerald + navy colors,, product photography,, detachable shoulder strap,, embellished with pearl accents,, displayed on lustrous reflective countertop,, reflection,, sunlight lighting,, nightclub lighting,, soft ambient lighting,, Octane render,, glamorous art,, extreme detail,, set against clean and dark jewel-toned background:: --v 5 --q 2"
Walter Gropius,"Walter Gropius,, school with Bauhaus design and clean lines,, educational and inspiring,, captured by Mark Steinmetz., White,, blue,, and concrete,, intricate,, ornate., --ar 16:9 --c 2 --s 90"
regina rae's,"regina rae's hair by christine bett,, 1980,, in the style of light aquamarine and orange,, gareth pugh,, david downton,, louis faurer,, graceful balance,, full body,, glitter --ar 160:189 --s 750 --style raw"
woman,"a woman wearing an elaborate mask around her face,, in the style of vray tracing,, cloisonnism,, turquoise and gold,, miniature sculptures,, impressionistic venice scenes,, realistic fantasy artwork,, exquisite detail --ar 35:64 --stylize 750 --v 6"
drawing,"new drawing of a woman,, in the style of movie poster,, red,, vintage-inspired designs,, detail-oriented,, barbiecore,, soviet,, bold character designs --ar 31:64 --stylize 750 --v 5., 2"
chris,"a group of females dressed in silver and posing for a photo shoot in front of scaffolding,, in the style of chris ofili,, multiple exposure,, guo pei,, lifelike renderings,, annie leibovitz,, uhd image,, polka dots --ar 183:250 --s 750 --v 5., 2 --style raw"
spacecraft,"spacecraft in action,, star wars,, in the style of olympus af-1 (aka olympus infinity),, cinematic stills,, light gray and blue,, i can't believe how beautiful this is,, fragmented planes,, light gray and dark emerald,, frostpunk,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, a spaceship riding into view at a distance,, in the style of #vfxfriday,, changelingcore,, imax,, close up,, i can't believe how beautiful this is,, light indigo and white,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, photo,, digital art,, science fiction:: --v 5., 2"
Headshot,"A mysterious anime character with a mischievous grin,, with dark purple hair,, Headshot shot,, in the style of Ismail Inceoglu,, Tracey Emin,, Margaret Keane,, black and red,, surrounded by dim lights,, purple and green,, Lowbrow Art art influence,, 32K,, UHD,, sharp focus --ar 2:3 --niji 5 --q 2"
Hokusai,"Serene tranquil beach in the tranquil blue hour,, etching,, 3d,, gentle lighting,, Hokusai,, hd,, 8k no arguments --v 5., 1 --style raw --s 250 --ar 9:16"
sci fi,"Alien ruins,, sci fi,, soft light,, golden ration,, far future,, sharp focus,, studio photo aesthetic,, boasts intricate details,, ultra-clear,, highly detailed,, dramatic lighting,, style by Greg Rutkowski"
painting,"a digital painting of an old man with a beard and some dark grays,, in the style of photorealistic urban scenes,, uhd image,, algeapunk,, rusty debris,, vibrant portraits,, flickr,, soft-focus portraits"
Immerse,"Create a stunning and captivating digital portrait of a distinguished Indian brown gentleman 23 years old sporting a sophisticated style ., Position the Immerse against a vibrant studio backdrop that radiates warmth and energy., Enhance the portrait with subtle highlights and shadows,, meticulously crafted to accentuate the Immerse's captivating features., Immerse the gentleman in a world of refined elegance,, adorned in a timeless white printed shirt complements his sophisticated demeanor., Captivate the viewer with the Immerse's piercing gaze,, framed by a pair of impeccably polished eyeglasses that exude intellectual prowess., Incorporate a series of subtly textured text overlays that dance across the portrait,, adding a touch of intrigue and mystery without detracting from the Immerse's captivating presence., Ensure the portrait exudes a sense of timeless elegance,, reminiscent of the golden age of cinema and the allure of Hollywood legends., Craft an image that is both visually stunning and intellectually stimulating,, capturing the essence of a man who exudes sophistication and charisma., The text overlays should be carefully designed to complement the overall aesthetic of the portrait,, using a font style and color palette that harmonize with the Immerse's attire and the vibrant yellow background., The text should not be overly intrusive or distracting,, but rather serve as a subtle enhancement that adds depth and intrigue to the image., --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, extra fingers,, long neck,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
Portrait,"Portrait of an evil pierrot,, horror,, grim,, chiaroscuro,, extremely detailed,, extremely intricate,, photorealistic,, realistic"
marcos,"sandro c ii by marcos velliottas reissued by cgb,, in the style of surrealist collages,, reimagined religious art,, whistlerian,, hasselblad h6d-400c,, floralpunk,, midwest gothic --ar 69:128"
can;t,"a black and white photo of a beautiful woman in a kitchen,, back angle,, lingerie,, in the style of retro photographs,, i can;t believe how beautiful this is --ar 87:128 --stylize 750 --v 5., 2"
plain,"In a flat plain,, a battle between The Austrian and Ottoman army,, parts are fighting face to face,, dead soldiers and horses on the ground,, date is 1788,, cinematic"
raphael,"I am coming!, I am coming!, I am coming through!, Coming across the divide to you,, In this moment of unity feeling an ecstasy to be here,, to be now,, At last I am free,, Yes at last,, at last to be free of the past and the future that beckons me,, I am coming!, I am coming!, Here I am!, Neither a woman,, nor a man,, by raphael,, caravaggio,, greg rutkowski,, beeple,, beksinski,, giger --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers,, text --c 20"
Cairo,"/imagine prompt: post classic,, portrait photography,, Egyptian god Anubis,, with gold ornaments and a black and gold spear,, standing on top of a pyramid,, looking at modern Cairo,, with heavy black clouds"
Rings,"A woman with raven black hair,, green eyes and covered in dirt,, wearing rags,, escaped from a dungeon and now wonders in a grey wasteland with other people also in rags., Sunken eyes,, Lord of the Rings,, Tolkien,, Hillmen,, Dunlending"
princess,"A stunning young princess with porcelain skin,, fiery red hair cascading down her back,, and a figure that could make any heart skip a beat."
sci fi,"sketches,, blueprint of futuristic,, sci fi,, hyperdrive engines,, repair,, matter and anti matter holding chamber,, equations for calibrating warp engine,, star drive engines,, placement besides ship,, formulas and annotations,, schematic by parts,, golden ratio,, fake detail,, trending pixiv fanbox,, style of makoto shinkai,, studio ghibli genshin,, impact,, james gilleard,, greg rutkowski,, chiho aoshi --c 50"
Middle-Eastern,"Three students of diverse descents - Hispanic,, Middle-Eastern,, and South Asian - are sitting on a lush green grassland in front of an impressive redbrick building., They are interacting with striking holograms that appear to float in the air,, showcasing educational content in an innovative manner., The image emulates the distinct quality of a photo taken with a Canon EOS R3 using a 50mm lens,, with vivid colors and sharp details., The setting is natural and serene,, highlighting a blend of traditional architecture and futuristic technology."
Toyota,"one image of a [Toyota Corolla],, in [black] color,, photo taken from the [front],, isolated on a white background,, HD 8k --v 5., 1"
Hello Kitty,"3d 32-bit character design anime,, nft,, Hello Kitty,, floral patterns,, sparkling eyes,, vibrant color palette,, Brian Kesinger,, lava glow,, chartreuse color background,, Unreal engine --v 5., 2 --ar 2:3 --q 2"
photography,"disposable photography of a beautiful white girl with white hair,, sitting on flower bed,, 8k,, photo realism"
Renowned Artist,"Amazing top 10 most beautiful natural exciting enthusiastic intricate masterpiece,, Renowned Artist,, Spectacular,, Unreal,, Fantastic,, Accurate,, Innovative,, Creative,, Very Beautiful,, Very Nice,, Striking,, Scenic,, Exotic,, Realistic,, Shadows,, Depth,, Colour Grading,, Photo,, Flawless,, Focus,, High-Res,, HD,, Complex,, Detailed,, Pro Lighting,, Incredible,, Volumetric,, photorealistic,, Masterful,, Magnificent --s 750 --v 6., 0"
guido van helten,"art statue in cliffs,, in the style of realistic hyper-detailed portraits,, cryengine,, detailed facial features,, ingrid baars,, multi-panel compositions,, guido van helten,, concept art --ar 31:64 --stylize 750 --v 6"
years party,"new years party with champagne glasses and a clock,, in the style of uhd image,, cross-processing/processed,, tokina opera 50mm f/1., 4 ff,, 32k uhd,, provia,, tonalist,, yankeecore --ar 80:79 --v 6., 0"
denim jacket,"A mischievous young boy with tousled purple hair and mischievous yellow eyes,, wearing a patched-up denim jacket,, is climbing a tree in a colorful park,, face drawn by the skilled artist Max Fleischer,, detailed,, against a sunny sky background::4 --ar 2:3 --niji 5 --style cute --q 2"
Grapheme-Shape,"A legendary mermaid with emerald hair and gleaming aquamarine scales detailed with fluid shapes in the scales,, some oceanic background waves very mystical,, art Grapheme-Shape Synesthesia,, a captivating composition for ht,, in the style of Walt Kelly illustrations,, 800x800 resolution,, depicting the creature's magical aura,, exquisite Extraterrestrial illustration,, theme: serenity --q 2 --s 750 --ar 2:3"
mushroom,"large glowing mushroom forest --style raw --v 6., 0"
Jean-Auguste-Dominique Ingres,"A retro icon of a camera,, Wrinkled style,, black and yellow palette,, art by Jean-Auguste-Dominique Ingres,, white background:: --q 2 --v 5"
drawing,"a drawing of a woman with blue hair,, in the style of dark yellow and light gold,, ethereal illustrations,, graceful lines,, comic art,, i can't believe how beautiful this is,, fluid and loose,, close up --ar 74:125 --stylize 750 --v 6"
Marc Silvestri,"A playful,, tiny ladybug,, in a cheerful yellow outfit,, with dainty silver accessories,, vibrant colors,, sunny color scheme,, illuminated by Marc Silvestri,, dreamcore,, by Auguste Rodin,, clean and joyful background --v 5., 1 --ar 9:16"
hair,"brown hair on woman's lower lip,, in the style of mechanical sculptures,, metalwork jewelry --ar 128:85 --s 750 --v 5., 2 --style raw"
lake,"ride it on a cold lake,, the sky is cloudy and you can see a ray of sun coming through the cloud"
people,"two people hugging each other in the jungle,, in the style of ethereal figures,, made of vines,, physically based rendering,, detailed facial features,, earthcore,, dark and intricate,, firecore --ar 71:128 --stylize 750 --v 6., 0"
Luis Royo,"closeup shot,, photorealistic image in the style of Luis Royo,, Boris Vallejo and Frank Frazetta depicting a woman pirate standing on the deck of a wooden pirate ship., The woman should have a slim figure,, short hair,, Her skin should be tanned and sweaty from the heat of the Caribbean sun,, image should capture the deck of the ship,, and dramatic sky in natural light,, captivating beauty --ar 3:2 --stylize 250"
Albert Einstein,"Picture Albert Einstein in a cyberpunk world,, half of his face transformed into a futuristic cyborg masterpiece., The cybernetic side features intricate circuits,, luminescent panels,, and a synthetic eye with holographic displays., This avant-garde vision seamlessly blends Einstein's classical genius with cutting-edge technology,, creating a visually stunning symbol of intellect transcending time., ultra realistic,, cyberpunk style,, futuristic elements,, symmetrical composition,, detailed faces"
Eszter Mattioni,"a close up of a woman with red hair,, a portrait by Eszter Mattioni,, featured on cg society,, neo-romanticism,, ilya kuvshinov,, 8k,, enchanting"
woman,"a woman's form floating across an image with smoke,, in the style of ink wash paintings,, graceful curves,, light gray and indigo,, intricate costumes,, soft and airy compositions,, flowing forms,, light black and bronze --ar 68:128 --stylize 750 --v 5., 2"
Dark,"Dark and green landscape embodying elements of psychology and manipulation,, strong contrast between green and black,, enveloped in a dark,, rainy atmosphere that conveys sadness,, 8k,, ultra realistic,, dramatic lighting."
World War II,"Craft a detailed,, photorealistic close-up of a World War II soldier amidst a fierce battle., The image should mirror the artistic nuances of Luis Royo,, Boris Vallejo,, and Frank Frazetta,, focusing on the soldier's rugged appearance and combat-ready stance., The background should feature the chaotic battlefield and a dramatic,, sunlit sky,, emphasizing the soldier's determination and the gravity of the moment., --s 200 --ar 16:9"
DSLR,"A photograph of a flower blooming under a vibrant rainbow,, during sunrise with colorful lighting and shot with DSLR,, shot by Sally Mann --ar 2:3 --v 5., 2 --style raw"
blurry,"ocean,, dreamy,, invoking property,, indescribable mystery,, clear sky --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, extra fingers,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
Robbie,"Margot Robbie,, op-art style,, black and white dual tone,, spiral background,, Hasselblad 500 C/M,, --chaos 25 --ar 1:1 --stylize 450 --v 6., 0 --style raw"
mark lague,"a drawing of a head,, in the style of reimagined religious art,, mark lague,, florian nicolle,, biblical iconography,, caravaggesque,, eddie colla,, distinct framing --ar 71:128 --stylize 750 --v 5., 2"
scifi fantasy,"scifi fantasy illustration beautiful robot,, in the style of realistic hyper-detailed portraits,, dark white and orange,, classicist portraiture,, dark gold and aquamarine,, realist detail,, hard edge,, technological marvels --ar 68:128 --stylize 750 --v 5., 2"
Alfons Mucha,"beautiful female warrior,, short blue hair,, shimmering jewels armor,, in the style of Alfons Mucha,, with emphasis on light play and the transparency of the glass,, High and short depth of field,, Ray tracing,, FHD,, hyper quality --ar 9:16 --s 1000 --v 6., 0"
Mattel,"a barbie doll by Mattel in the style of Christmas:: maximalism,, violet and hot pink:: hyper-detailed illustration --no text,, extra fingers,, mutated hands,, poorly drawn hands,, missing arms,, missing legs,, too many fingers --s 150 --style raw"
lipstick vampire,"lipstick vampire,, in the style of edgy surrealism,, veronika pinke,, ina wong,, gothcore,, ren hang,, dark colors,, contrast of scale --ar 51:64 --s 750 --v 5., 2 --style raw"
daniel sullivan's,"daniel sullivan's fall 2014 muse fall,, in the style of light red,, pinturicchio,, giovanni boldini,, high gloss,, imitated material,, poolcore,, made of flowers --ar 103:154 --s 750 --style raw"
hylno makeup,"hylno makeup,, lips and lip art,, in the style of ominous,, gothcore,, nikita veprikov,, berrypunk,, fang lijun,, high gloss,, aurorapunk --ar 51:64 --s 1000 --c 100 --w 1000 --v 5., 2"
drawing,"a drawing of a knight with shield and cloak,, in the style of adventure pulp,, dark white and bronze,, mottled,, yup'ik art,, heavy use of palette knives,, light indigo and green,, 1970–present --ar 1:2 --stylize 750 --v 6"
woman,"an asian woman stands on a mountain with a bow,, in the style of action-packed scenes,, war scenes,, historical significance,, historical genre scenes --ar 1:2 --stylize 750 --v 6"
DSLR,"Pose of a yellow and green floral skirt,, bohemian design,, features vibrant accents and a tassel trim,, citrine shaded,, DSLR,, designed by Christian Dior,, candlelight,, ornate,, intricate details --ar 2:3 --v 5., 1 --q 2 --no mannequin"
Dark,"Dark and green landscape embodying elements of psychology and manipulation,, strong contrast between green and black,, enveloped in a dark,, rainy atmosphere that conveys sadness,, 8k,, ultra realistic,, dramatic lighting."
EOS,"three students interact with hololens in a chemistry lab,, taken on Canon EOS R3,, 50mm"
Mulan,"A Mulan painting in a kimono,, a detailed painting by Magali Villeneuve,, presented in cgsociety,, fantasy art,, detailed painting,, 2d game art,, official art"
christmas window,"christmas window --v 6., 0"
Caveman drawings,"Caveman drawings on stone in a cave that depict alien ships and alien beings,, real --v 6., 0"
Personification,Personification of anathema
Kanō Naizen,"a close up of a person with a camera,, a photorealistic painting by Kanō Naizen,, cgsociety,, computer art,, ilya kuvshinov,, anime aesthetic,, artstation hd"
Headshot,"Headshot,, a person,, posing,, a camera,, vintage design,, warm accents,, and a vibrant color palette,, Dramatic Lighting,, art Jeff Koons,, Unreal engine,, 3ds max., urban background --v 5., 1 --ar 9:16 --q 2"
Anna Maria Barbara Abesch,"a woman with a red dress with gold trim and earrings on her head and shoulder,, fire red hair,, looking off to the side,, with a white background,, a portrait,, Anna Maria Barbara Abesch,, renaissance,, side profile --ar 4:5 --iw 2 --s 750 --v 5., 2 --style raw"
Dan Matutina,"A fierce princess with elegant gold patterns on her face,, in the style of delicate porcelain sculpting,, graceful figures,, royal fashion,, regal,, made of majestic creatures,, flowing forms,, opulent-toned toning,, Dan Matutina,, majestic background --v 5., 2 --style raw --s 750 --ar 9:16"
woman,"woman's face,, pable picasso,, cubism,, vibrant colors --ar 1:1 --stylize 750 --v 6"
Kanō Naizen,"a close up of a person with a camera,, a photorealistic painting by Kanō Naizen,, cgsociety,, computer art,, ilya kuvshinov,, anime aesthetic,, artstation hd"
Jessica Rabbit,"Jessica Rabbit beautiful charismatic girl,, athletic body,, gorgeous figure,, interesting shapes,, full body shot,, dark eye makeup,, in the style of jessica drossin,, --ar 51:91"
playing plates,"A monkey playing plates as a dj,, funky psychedelic illustration,, funky hair,, colorful,, funky rays,, acid colors,, modern style,, hr"
juliana nan,"smoke sculpture portrait of a woman,, in the style of flowing fabrics,, delicate ink washes,, dance,, juliana nan,, clear and crisp,, mandy disher,, movement and spontaneity captured --ar 73:106 --stylize 750 --v 5., 2"
george callaghan,"female face,, in the style of afrofuturism,, george callaghan,, engineering/construction and design,, poster art,, depictions of urban life,, dark cyan and orange,, 32k uhd --ar 1:2 --stylize 750 --v 6"
body,"the body of a man being simulated in white hood,, in the style of cyberpunk imagery,, mechanical designs,, algorithmic artistry,, 32k uhd,, chrome-plated,, enigmatic characters,, ue5 --ar 68:128 --stylize 750 --v 5., 2"
chase,"chase cut short on blue,, in the style of todd schorr,, sharp focus,, whimsical cats,, album covers,, money themed,, tim etchells,, dark silver and light amber --ar 85:73"
